Agency Name,Program Name ,Additional Information (optional),agencyCode,ProgramCode,ProgramCodePODFormat
Department of Education,Construction,,18,018-011,018:011
Department of Education,Payments for Federal Property,,18,018-012,018:012
Department of Education,Improving Teacher Quality State Grants (CFDA # 84.367),,18,018-013,018:013
Department of Education,Mathematics and Science Partnerships (CFDA # 84.366),,18,018-014,018:014
Department of Education,21st Century Community Learning Centers (CFDA # 84.287),,18,018-015,018:015
Department of Education,State Assessments (CFDA # 84.369),,18,018-016,018:016
Department of Education,Education of Homeless Children & Youth (CFDA # 84.196),,18,018-017,018:017
Department of Education,Education for Native Hawaiians (CFDA # 84.362),,18,018-018,018:018
Department of Education,Alaska Native Education Equity (CFDA # 84.356),,18,018-019,018:019
Department of Education,Training and Advisory Services,,18,018-020,018:020
Department of Education,Rural Education (CFDA # 84.358),,18,018-021,018:021
Department of Education,Supplemental Education Grants (CFDA # 84.841),,18,018-022,018:022
Department of Education,Comprehensive Centers (CFDA # 84.283),,18,018-023,018:023
Department of Education,Grants to Local Educational Agencies (CFDA # 84.060),,18,018-024,018:024
Department of Education,Special Programs for Indian Children (CFDA # 84.299),,18,018-025,018:025
Department of Education,National Activities (CFDA # 84.850),,18,018-026,018:026
Department of Education,Safe & Drug-free Schools and Communities National Programs (CFDA # 84.184),,18,018-027,018:027
Department of Education,Elementary and Secondary School Counseling (CFDA # 84.215),,18,018-028,018:028
Department of Education,Physical Education Program (CFDA # 84.215),,18,018-029,018:029
Department of Education,Promise Neighborhoods (CFDA # 84.215),,18,018-030,018:030
Department of Education,"Race to The Top Fund (CFDA # 84.395, 84.412, 84.416)",,18,018-031,018:031
Department of Education,Investing in Innovation Fund (CFDA # 84.396),,18,018-032,018:032
Department of Education,Teacher Incentive Fund Grants (CFDA # 84.374),,18,018-033,018:033
Department of Education,Transition to Teaching (CFDA # 84.350),,18,018-034,018:034
Department of Education,School Leadership (CFDA # 84.363),,18,018-035,018:035
Department of Education,Charter Schools Grants (CFDA # 84.282),,18,018-036,018:036
Department of Education,Credit Enhancement for Charter School Facilities (CFDA # 84.354),,18,018-037,018:037
Department of Education,Magnet Schools Assistance (CFDA # 84.165),,18,018-038,018:038
Department of Education,Advanced Placement (CFDA # 84.330),,18,018-039,018:039
Department of Education,Ready-to-Learn Television (CFDA # 84.295),,18,018-040,018:040
Department of Education,FIE Programs of National Significance (CFDA # 84.215),,18,018-041,018:041
Department of Education,Arts in Education (CFDA # 84.351) ,,18,018-042,018:042
Department of Education,English Learner Education (CFDA # 84.365),,18,018-043,018:043
Department of Education,Grants to States (CFDA # 84.027),,18,018-044,018:044
Department of Education,Preschool Grants (CFDA # 84.173),,18,018-045,018:045
Department of Education,Grants for Infants and Families (CFDA # 84.181),,18,018-046,018:046
Department of Education,State Personnel Development (CFDA # 84.323),,18,018-047,018:047
Department of Education,Technical Assistance and Dissemination (CFDA # 84.326),,18,018-048,018:048
Department of Education,Personnel Preparation (CFDA # 84.323),,18,018-049,018:049
Department of Education,Parent Information Centers (CFDA # 84.328),,18,018-050,018:050
Department of Education,"Educational, Technology, Media, and Materials (CFDA # 84.327)",,18,018-051,018:051
Department of Education,Special Olympics Education Programs (CFDA # 84.380),,18,018-052,018:052
Department of Education,PROMISE: Promoting Readiness of Minors in SSI (CFDA # 84.418P),,18,018-053,018:053
Department of Education,Vocational Rehabilitation State Grants,,18,018-054,018:054
Department of Education,Client Assistance State Grants (CFDA # 84.161),,18,018-055,018:055
Department of Education,Training (CFDA # 84.133),,18,018-056,018:056
Department of Education,Demonstration and Training Programs (CFDA # 84.235),,18,018-057,018:057
Department of Education,Migrant and Seasonal Farmworkers (CFDA # 84.128),,18,018-058,018:058
Department of Education,Protection & Advocacy of Individual Rights (CFDA # 84.240),,18,018-059,018:059
Department of Education,Supported Employment State Grants (CFDA # 84.187),,18,018-060,018:060
Department of Education,Independent Living,,18,018-061,018:061
Department of Education,Helen Keller National Center for Deaf-Blind Youths and Adults (CFDA # 84.904),,18,018-062,018:062
Department of Education,National Institute on Disability and Rehabilitation Research (CFDA # 84.133),,18,018-063,018:063
Department of Education,Assistive Technology Programs (CFDA # 84.224),,18,018-064,018:064
Department of Education,American Printing House for the Blind (CFDA # 84.906),,18,018-065,018:065
Department of Education,National Technical Institute for the Deaf (CFDA # 84.908),,18,018-066,018:066
Department of Education,Gallaudet University (CFDA # 84.910),,18,018-067,018:067
Department of Education,Career and Technical Education State Grants (CFDA # 84.048),,18,018-068,018:068
Department of Education,National Programs (CFDA # 84.051),,18,018-069,018:069
Department of Education,Adult Basic and Literacy Education State Grants (CFDA # 84.002),,18,018-070,018:070
Department of Education,National Leadership Activities (CFDA # 84.051),,18,018-071,018:071
Department of Education,Federal Pell Grants (CFDA # 84.063),,18,018-072,018:072
Department of Education,Federal Supplemental Educational Opportunity Grants (SEOG) (CFDA # 84.007),,18,018-073,018:073
Department of Education,Federal Work-Study (CFDA # 84.033),,18,018-074,018:074
Department of Education,Iraq and Afghanistan Service Grants (CFDA # 84.408),,18,018-075,018:075
Department of Education,New Loan Subsidies,,18,018-076,018:076
Department of Education,TEACH Grants ,,18,018-077,018:077
Department of Education,Federal Direct Student Loans,,18,018-078,018:078
Department of Education,Federal Family Education Loans,,18,018-079,018:079
Department of Education,Strengthening Institutions (CFDA # 84.031),,18,018-080,018:080
Department of Education,Strengthening Tribally Controlled Colleges and Universities (CFDA # 84.031),,18,018-081,018:081
Department of Education,Strengthening Alaska Native and Native Hawaii-serving Institutions (CFDA # 84.031),,18,018-082,018:082
Department of Education,Strengthening HBCUs (CFDA # 84.031),,18,018-083,018:083
Department of Education,Strengthening Historically Black Graduate Institutions (CFDA # 84.031),,18,018-084,018:084
Department of Education,Master’s Degree Programs at HBCUs and Predominantly Black Institutions (CFDA # 84.382),,18,018-085,018:085
Department of Education,Strengthening Predominantly Black Institutions (CFDA # 84.031P; 84.382A),,18,018-086,018:086
Department of Education,Strengthening Asian American and Native American Pacific Islander-Serving Institutions (CFDA # 84.031L; 84.382B),,18,018-087,018:087
Department of Education,Strengthening Native American-serving Nontribal Institutions (CFDA # 84.031; 84.382),,18,018-088,018:088
Department of Education,Minority Science and Engineering Improvement (CFDA # 84.120),,18,018-089,018:089
Department of Education,Developing Hispanic-Serving Institutions (CFDA # 84.031),,18,018-090,018:090
Department of Education,Mandatory Developing HIS STEM and Articulation Program (CFDA # 84.031),,18,018-091,018:091
Department of Education,Prompting Postbaccalaureate Opportunities for Hispanic American (CFDA # 84.031),,18,018-092,018:092
Department of Education,"International Education and Foreign Language Studies (CFDA # 84.015, 84.016, 84.017, 84.018, 84.019, 84.021, 84.022, 84.153, 84.220, 84.229, 84.274, 84.337)",,18,018-093,018:093
Department of Education,Fund for the improvement of Postsecondary Education (CFDA # 84.116),,18,018-094,018:094
Department of Education,Model Transition Programs for Student With Intellectual Disabilities Into Higher Education (CFDA # 84.407),,18,018-095,018:095
Department of Education,Tribally Controlled Postsecondary Career and Technical Institutions (CFDA # 84.245),,18,018-096,018:096
Department of Education,"Federal TRIO Program (CFDA # 84.042, 84.044, 84.047, 84.066, 84.217)",,18,018-097,018:097
Department of Education,Gaining Early Awareness and Readiness for Undergraduate Programs (CFDA # 84.334),,18,018-098,018:098
Department of Education,Graduate Assistance in Areas of National Need (CFDA # 84.200),,18,018-099,018:099
Department of Education,Child Care Access Means Parents in School (CFDA # 84.335),,18,018-100,018:100
Department of Education,Teacher Quality Partnership (CFDA # 84.336),,18,018-101,018:101
Department of Education,GPRA Data/HEA Program Evaluation (CFDA # 84.895),,18,018-102,018:102
Department of Education,College Access Challenge Grant Program (CFDA # 84.378A),,18,018-103,018:103
Department of Education,Howard University (CFDA # 84.915),,18,018-104,018:104
Department of Education,College Housing and Academic Facilities Loans Program,,18,018-105,018:105
Department of Education,Historically Black College and University Capital Financing Program (CFDA # 84.951),,18,018-106,018:106
Department of Education,Research and Statistics,,18,018-107,018:107
Department of Education,Regional Educational Laboratories,,18,018-108,018:108
Department of Education,Assessment (CFDA # 84.902),,18,018-109,018:109
Department of Education,Research in Special Education (CFDA # 84.324),,18,018-110,018:110
Department of Education,Statewide Data Systems (CFDA # 84.372),,18,018-111,018:111
Department of Education,Special Education Studies and Evaluations (CFDA # 84.329),,18,018-112,018:112
Department of Education,Program Administration,,18,018-113,018:113
Department of Education,Student Aid Administration,,18,018-114,018:114
Department of Education,Office of Civil Rights,,18,018-115,018:115
Department of Education,Office of Inspector General,,18,018-116,018:116
Department of Energy,Advanced Manufacturing Office (formerly Industrial Technologies),,19,019-001,019:001
Department of Energy,Building Technologies,,19,019-002,019:002
Department of Energy,Vehicle Technologies,,19,019-003,019:003
Department of Energy,Weatherization and Intergovernmental Programs,,19,019-004,019:004
Department of Energy,Bioenergy Technologies (formerly Biomass and Biorefinery R&D),,19,019-005,019:005
Department of Energy,Geothermal Technology,,19,019-006,019:006
Department of Energy,Hydrogen and Fuel Cell Technologies,,19,019-007,019:007
Department of Energy,Solar Energy,,19,019-008,019:008
Department of Energy,Water Power,,19,019-009,019:009
Department of Energy,Wind Energy,,19,019-010,019:010
Department of Energy,Federal Energy Management Program,,19,019-011,019:011
Department of Energy,Petroleum Reserves,,19,019-012,019:012
Department of Energy,Fossil Energy R&D,,19,019-013,019:013
Department of Energy,Nuclear Energy (NE),,19,019-014,019:014
Department of Energy,Electricity Delivery and Energy Reliability (OE),,19,019-015,019:015
Department of Energy,Bonneville Power Administration (BPA),,19,019-016,019:016
Department of Energy,Southeastern Power Administration (SEPA),,19,019-017,019:017
Department of Energy,Southwestern Power Administration (SWPA),,19,019-018,019:018
Department of Energy,Western Area Power Administration (WAPA),,19,019-019,019:019
Department of Energy,Loan Programs (LP),,19,019-020,019:020
Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),,19,019-021,019:021
Department of Energy,Energy Information Administration (EIA),,19,019-022,019:022
Department of Energy,Advanced Scientific Computing Research,,19,019-023,019:023
Department of Energy,Basic Energy Sciences,,19,019-024,019:024
Department of Energy,Biological and Environmental Research,,19,019-025,019:025
Department of Energy,Fusion Energy Sciences,,19,019-026,019:026
Department of Energy,High Energy Physics,,19,019-027,019:027
Department of Energy,Nuclear Physics,,19,019-028,019:028
Department of Energy,Workforce Development for Teachers and Scientists,,19,019-029,019:029
Department of Energy,Directed Stockpile Work,,19,019-030,019:030
Department of Energy,Science Campaign,,19,019-031,019:031
Department of Energy,Engineering Campaign,,19,019-032,019:032
Department of Energy,Inertial Confinement Fusion Ignition and High Yield Campaign,,19,019-033,019:033
Department of Energy,Advanced Simulation and Computing Campaign,,19,019-034,019:034
Department of Energy,Readiness Campaign,,19,019-035,019:035
Department of Energy,Nuclear Programs,,19,019-036,019:036
Department of Energy,Secure Transportation Asset,,19,019-037,019:037
Department of Energy,Facilities and Infrastructure Recapitalization Program,,19,019-038,019:038
Department of Energy,Site Stewardship,,19,019-039,019:039
Department of Energy,Defense Nuclear Security,,19,019-040,019:040
Department of Energy,NNSA CIO Activities,,19,019-041,019:041
Department of Energy,Global Threat Reduction Initiative,,19,019-042,019:042
Department of Energy,International Material Protection and Cooperation,,19,019-043,019:043
Department of Energy,Fissile Materials Disposition,,19,019-044,019:044
Department of Energy,Nonproliferation and International Security,,19,019-045,019:045
Department of Energy,Defense Nuclear Nonproliferation Research and Development,,19,019-046,019:046
Department of Energy,Nuclear Counterterrorism Incident Response Program,,19,019-047,019:047
Department of Energy,Counterterrorism and Counterproliferation,,19,019-048,019:048
Department of Energy,Naval Reactors,,19,019-049,019:049
Department of Energy,NNSA Office of the Administrator,,19,019-050,019:050
Department of Energy,Environmental Management (EM),,19,019-051,019:051
Department of Energy,Legacy Management (LM),,19,019-052,019:052
Department of Energy,Departmental Administration:  Support Offices/Corporate Management,,19,019-053,019:053
Environmental Protection Agency,"Acquisition Management (Environmental Programs & Management, Superfund, Leaking Underground Storage Tanks)",,20,020-001,020:001
Environmental Protection Agency,Administrative Law (Environmental Programs & Management),,20,020-002,020:002
Environmental Protection Agency,"Alternative Dispute Resolution (Environmental Programs & Management, Superfund)",,20,020-003,020:003
Environmental Protection Agency,"Audits, Evaluations, and Investigations (Inspector General, Superfund)",,20,020-004,020:004
Environmental Protection Agency,Beach / Fish Programs (Environmental Programs & Management),,20,020-005,020:005
Environmental Protection Agency,Brownfields (Environmental Programs & Management),,20,020-006,020:006
Environmental Protection Agency,Brownfields Projects (State & Tribal Assistance Grants),,20,020-007,020:007
Environmental Protection Agency,Categorical Grant: Beaches Protection (State & Tribal Assistance Grants),,20,020-008,020:008
Environmental Protection Agency,Categorical Grant: Brownfields (State & Tribal Assistance Grants),,20,020-009,020:009
Environmental Protection Agency,Categorical Grant: Environmental Information (State & Tribal Assistance Grants),,20,020-010,020:010
Environmental Protection Agency,Categorical Grant: Evaluation Grants,,20,020-011,020:011
Environmental Protection Agency,Categorical Grant: Hazardous Waste Financial Assistance (State & Tribal Assistance Grants),,20,020-012,020:012
Environmental Protection Agency,Categorical Grant: Lead (State & Tribal Assistance Grants),,20,020-013,020:013
Environmental Protection Agency,Categorical Grant: Nonpoint Source (Sec. 319) (State & Tribal Assistance Grants),,20,020-014,020:014
Environmental Protection Agency,Categorical Grant: Pesticides Enforcement (State & Tribal Assistance Grants),,20,020-015,020:015
Environmental Protection Agency,Categorical Grant: Pesticides Program Implementation (State & Tribal Assistance Grants),,20,020-016,020:016
Environmental Protection Agency,Categorical Grant: Pollution Control (Sec. 106) (State & Tribal Assistance Grants),,20,020-017,020:017
Environmental Protection Agency,Categorical Grant: Pollution Prevention (State & Tribal Assistance Grants),,20,020-018,020:018
Environmental Protection Agency,Categorical Grant: Public Water System Supervision (PWSS) (State & Tribal Assistance Grants),,20,020-019,020:019
Environmental Protection Agency,Categorical Grant: Radon (State & Tribal Assistance Grants),,20,020-020,020:020
Environmental Protection Agency,Categorical Grant: State and Local Air Quality Management (State & Tribal Assistance Grants),,20,020-021,020:021
Environmental Protection Agency,Categorical Grant: Toxics Substances Compliance (State & Tribal Assistance Grants),,20,020-022,020:022
Environmental Protection Agency,Categorical Grant: Tribal Air Quality Management (State & Tribal Assistance Grants),,20,020-023,020:023
Environmental Protection Agency,Categorical Grant: Tribal General Assistance Program (State & Tribal Assistance Grants),,20,020-024,020:024
Environmental Protection Agency,Categorical Grant: Underground Injection Control (UIC) (State & Tribal Assistance Grants),,20,020-025,020:025
Environmental Protection Agency,Categorical Grant: Underground Storage Tanks (State & Tribal Assistance Grants),,20,020-026,020:026
Environmental Protection Agency,Categorical Grant: Wetlands Program Development (State & Tribal Assistance Grants),,20,020-027,020:027
Environmental Protection Agency,"Central Planning, Budgeting, and Finance (Environmental Programs & Management, Superfund, Leaking Underground Storage Tanks)",,20,020-028,020:028
Environmental Protection Agency,Children and Other Sensitive Populations: Agency Coordination (Environmental Programs & Management),,20,020-029,020:029
Environmental Protection Agency,"Civil Enforcement (Environmental Programs & Management, Leaking Underground Storage Tanks, Oil Spill Response)",,20,020-030,020:030
Environmental Protection Agency,Civil Rights / Title VI Compliance (Environmental Programs & Management),,20,020-031,020:031
Environmental Protection Agency,"Clean Air Allowance Trading Programs (Science & Technology, Environmental Programs & Management)",,20,020-032,020:032
Environmental Protection Agency,"Climate Protection Program (Science & Technology, Environmental Programs & Management)",,20,020-033,020:033
Environmental Protection Agency,"Compliance Monitoring (Environmental Programs & Management, Superfund, Oil Spill Response)",,20,020-034,020:034
Environmental Protection Agency,"Congressional, Intergovernmental, External Relations (Environmental Programs & Management)",,20,020-035,020:035
Environmental Protection Agency,"Criminal Enforcement (Environmental Programs & Management, Superfund)",,20,020-036,020:036
Environmental Protection Agency,Diesel Emissions Reduction Grant Program (State & Tribal Assistance Grants),,20,020-037,020:037
Environmental Protection Agency,"Drinking Water Programs (Science & Technology, Environmental Programs & Management)",,20,020-038,020:038
Environmental Protection Agency,Endocrine Disruptors (Environmental Programs & Management),,20,020-039,020:039
Environmental Protection Agency,Environmental Education (Environmental Programs & Management),,20,020-040,020:040
Environmental Protection Agency,"Environmental Justice (Environmental Programs & Management, Superfund)",,20,020-041,020:041
Environmental Protection Agency,"Exchange Network (Environmental Programs & Management, Superfund)",,20,020-042,020:042
Environmental Protection Agency,"Facilities Infrastructure and Operations (Science & Technology, Environmental Programs & Management, Buildings & Facilities, Superfund, Leaking Underground Storage Tanks, Oil Spill Response)",,20,020-043,020:043
Environmental Protection Agency,Federal Stationary Source Regulations (Environmental Programs & Management),,20,020-044,020:044
Environmental Protection Agency,"Federal Support for Air Quality Management (Science & Technology, Environmental Programs & Management)",,20,020-045,020:045
Environmental Protection Agency,Federal Vehicle and Fuels Standards and Certification (Science & Technology,,20,020-046,020:046
Environmental Protection Agency,"Financial Assistance Grants / IAG Management (Environmental Programs & Management, Superfund)",,20,020-047,020:047
Environmental Protection Agency,"Forensics Support (Science & Technology, Superfund)",,20,020-048,020:048
Environmental Protection Agency,Geographic Program: Chesapeake Bay (Environmental Programs & Management),,20,020-049,020:049
Environmental Protection Agency,Geographic Program: Gulf of Mexico (Environmental Programs & Management),,20,020-050,020:050
Environmental Protection Agency,Geographic Program: Lake Champlain (Environmental Programs & Management),,20,020-051,020:051
Environmental Protection Agency,Geographic Program: Long Island Sound (Environmental Programs & Management),,20,020-052,020:052
Environmental Protection Agency,Geographic Program: Other (Environmental Programs & Management),,20,020-053,020:053
Environmental Protection Agency,Geographic Program: Puget Sound (Environmental Programs & Management),,20,020-054,020:054
Environmental Protection Agency,Geographic Program: San Francisco Bay (Environmental Programs & Management),,20,020-055,020:055
Environmental Protection Agency,Geographic Program: South Florida (Environmental Programs & Management),,20,020-056,020:056
Environmental Protection Agency,Great Lakes Restoration (Environmental Programs & Management),,20,020-057,020:057
Environmental Protection Agency,Homeland Security: Communication and Information (Environmental Programs & Management),,20,020-058,020:058
Environmental Protection Agency,"Homeland Security: Critical Infrastructure Protection (Science & Technology, Environmental Programs & Management)",,20,020-059,020:059
Environmental Protection Agency,"Homeland Security: Preparedness, Response, and Recovery (Science & Technology, Environmental Programs & Management, Superfund)",,20,020-060,020:060
Environmental Protection Agency,"Homeland Security: Protection of EPA Personnel and Infrastructure (Science & Technology, Environmental Programs & Management, Buildings & Facilities, Superfund)",,20,020-061,020:061
Environmental Protection Agency,"Human Health Risk Assessment (Science & Technology, Superfund)",,20,020-062,020:062
Environmental Protection Agency,"Human Resources Management (Environmental Programs & Management, Superfund)",,20,020-063,020:063
Environmental Protection Agency,"Indoor Air: Radon Program (Science & Technology, Environmental Programs & Management)",,20,020-064,020:064
Environmental Protection Agency,"Information Security (Environmental Programs & Management, Superfund)",,20,020-065,020:065
Environmental Protection Agency,Infrastructure Assistance: Alaska Native Villages (State & Tribal Assistance Grants),,20,020-066,020:066
Environmental Protection Agency,Infrastructure Assistance: Clean Water SRF (State & Tribal Assistance Grants),,20,020-067,020:067
Environmental Protection Agency,Infrastructure Assistance: Drinking Water SRF (State & Tribal Assistance Grants),,20,020-068,020:068
Environmental Protection Agency,Infrastructure Assistance: Mexico Border (State & Tribal Assistance Grants),,20,020-069,020:069
Environmental Protection Agency,Integrated Environmental Strategies (Environmental Programs & Management),,20,020-070,020:070
Environmental Protection Agency,International Sources of Pollution (Environmental Programs & Management),,20,020-071,020:071
Environmental Protection Agency,"IT / Data Management (Science & Technology, Environmental Programs & Management, Superfund, Leaking Underground Storage Tanks)",,20,020-072,020:072
Environmental Protection Agency,"Legal Advice: Environmental Program (Environmental Programs & Management, Superfund)",,20,020-073,020:073
Environmental Protection Agency,Legal Advice: Support Program (Environmental Programs & Management),,20,020-074,020:074
Environmental Protection Agency,"Leaking Underground Storage Tanks / UST (Environmental Programs & Management, Superfund)",,20,020-075,020:075
Environmental Protection Agency,Leaking Underground Storage Tanks Cooperative Agreements (Leaking Underground Storage Tanks),,20,020-076,020:076
Environmental Protection Agency,Leaking Underground Storage Tanks Prevention (Leaking Underground Storage Tanks),,20,020-077,020:077
Environmental Protection Agency,Marine Pollution (Environmental Programs & Management),,20,020-078,020:078
Environmental Protection Agency,National Estuary Program / Coastal Waterways (Environmental Programs & Management),,20,020-079,020:079
Environmental Protection Agency,National Environmental Policy Act Implementation (Environmental Programs & Management),,20,020-080,020:080
Environmental Protection Agency,"Oil Spill Response Spill: Prevention, Preparedness and Response (Oil Spill Response)",,20,020-081,020:081
Environmental Protection Agency,"Pesticides: Protect Human Health from Pesticide Risk (Science & Technology, Environmental Programs & Management)",,20,020-082,020:082
Environmental Protection Agency,"Pesticides: Protect the Environment from Pesticide Risk (Science & Technology, Environmental Programs & Management)",,20,020-083,020:083
Environmental Protection Agency,"Pesticides: Realize the Value of Pesticide Availability (Science & Technology, Environmental Programs & Management)",,20,020-084,020:084
Environmental Protection Agency,Pollution Prevention Program (Environmental Programs & Management),,20,020-085,020:085
Environmental Protection Agency,"Radiation: Protection (Environmental Programs & Management, Science & Technology, Superfund)",,20,020-086,020:086
Environmental Protection Agency,"Radiation: Response Preparedness (Science & Technology, Environmental Programs & Management)",,20,020-087,020:087
Environmental Protection Agency,"RCRA: Corrective Action (Environmental Programs & Management, Oil Spill Response)",,20,020-088,020:088
Environmental Protection Agency,"RCRA: Waste Management (Environmental Programs & Management, E-Manifest)",,20,020-089,020:089
Environmental Protection Agency,"RCRA: Waste Minimization & Recycling (Environmental Programs & Management, E-Manifest)",,20,020-090,020:090
Environmental Protection Agency,"Reduce Risks from Indoor Air (Science & Technology, Environmental Programs & Management)",,20,020-091,020:091
Environmental Protection Agency,Regional Science and Technology (Environmental Programs & Management),,20,020-092,020:092
Environmental Protection Agency,Regulatory/Economic-Management and Analysis (Environmental Programs & Management),,20,020-093,020:093
Environmental Protection Agency,"Research: Air, Climate and Energy (Science & Technology)",,20,020-094,020:094
Environmental Protection Agency,Research: Chemical Safety and Sustainability (Science & Technology),,20,020-095,020:095
Environmental Protection Agency,Research: Safe and Sustainable Water Resources (Science & Technology),,20,020-096,020:096
Environmental Protection Agency,"Research: Sustainable and Healthy Communities (Science & Technology, Superfund, Leaking Underground Storage Tanks, Oil Spill Response)",,20,020-097,020:097
Environmental Protection Agency,Science Advisory Board (Environmental Programs & Management),,20,020-098,020:098
Environmental Protection Agency,Science Policy and Biotechnology (Environmental Programs & Management),,20,020-099,020:099
Environmental Protection Agency,Small Business Ombudsman (Environmental Programs & Management),,20,020-100,020:100
Environmental Protection Agency,Small Minority Business Assistance (Environmental Programs & Management),,20,020-101,020:101
Environmental Protection Agency,State and Local Prevention and Preparedness (Environmental Programs & Management),,20,020-102,020:102
Environmental Protection Agency,Stratospheric Ozone: Domestic Programs (Environmental Programs & Management),,20,020-103,020:103
Environmental Protection Agency,Stratospheric Ozone: Multilateral Fund (Environmental Programs & Management),,20,020-104,020:104
Environmental Protection Agency,"Superfund: Emergency Response and Removal (Environmental Programs & Management, Superfund, Oil Spill Respond",,20,020-105,020:105
Environmental Protection Agency,Superfund: Enforcement (Superfund),,20,020-106,020:106
Environmental Protection Agency,Superfund: EPA Emergency Preparedness (Superfund),,20,020-107,020:107
Environmental Protection Agency,"Superfund: Federal Facilities (Environmental Programs & Management, Superfund, Oil Spill Response)",,20,020-108,020:108
Environmental Protection Agency,Superfund: Remedial (Superfund),,20,020-109,020:109
Environmental Protection Agency,Superfund: Support to Other Federal Agencies (Superfund),,20,020-110,020:110
Environmental Protection Agency,Superfund: Federal Facilities Enforcement (Superfund,,20,020-111,020:111
Environmental Protection Agency,Surface Water Protection (Environmental Programs & Management),,20,020-112,020:112
Environmental Protection Agency,Toxic Substances: Chemical Risk Management (Environmental Programs & Management),,20,020-113,020:113
Environmental Protection Agency,Toxic Substances: Chemical Risk Review and Reduction (Environmental Programs & Management),,20,020-114,020:114
Environmental Protection Agency,Toxic Substances: Lead Risk Reducation Program (Environmental Programs & Management),,20,020-115,020:115
Environmental Protection Agency,Trade and Governance (Environmental Programs & Management),,20,020-116,020:116
Environmental Protection Agency,TRI / Right to Know (Environmental Programs & Management),,20,020-117,020:117
Environmental Protection Agency,Tribal - Capacity Building (Environmental Programs & Management),,20,020-118,020:118
Environmental Protection Agency,US Mexico Border (Environmental Programs & Management),,20,020-119,020:119
Environmental Protection Agency,"Water Quality Research and Support Grants (Science & Technology, Environmental Programs & Management)",,20,020-120,020:120
Environmental Protection Agency,Wetlands (Environmental Programs & Management),,20,020-121,020:121
Department of Transportation,Air Traffic Organization (Operations),,21,021-001,021:001
Department of Transportation,Aviation Safety (Operations),,21,021-002,021:002
Department of Transportation,Commercial Space Transportation (Operations),,21,021-003,021:003
Department of Transportation,General Administrative Support (Operations),,21,021-004,021:004
Department of Transportation,"Facilities and Equipment (F&E): Engineering, Development, Test and Evaluation",,21,021-005,021:005
Department of Transportation,"Facilities and Equipment: Facilities, Equipment, Mission Support and General Expenses",,21,021-006,021:006
Department of Transportation,"Research, Engineering and Development",,21,021-007,021:007
Department of Transportation,Airports,,21,021-008,021:008
Department of Transportation,Federal-Aid Highways & Highway Safety Construction Programs,,21,021-009,021:009
Department of Transportation,Transportation Infrastructure Finance and Innovation Program,,21,021-010,021:010
Department of Transportation,General Administrative Expenses,,21,021-011,021:011
Department of Transportation,Formula Grants Programs,,21,021-012,021:012
Department of Transportation,"Research, Development Demonstration and Deployment Projects",,21,021-013,021:013
Department of Transportation,Technical Assistance and Workforce Development Programs,,21,021-014,021:014
Department of Transportation,Capital Investment Grants,,21,021-015,021:015
Department of Transportation,Washington Metropolitan Area Transit Authority,,21,021-016,021:016
Department of Transportation,Transit Safety and Oversight,,21,021-017,021:017
Department of Transportation,Administrative Expenses,,21,021-018,021:018
Department of Transportation,Enforcement and Intervention Programs (Safety Operations and Programs),,21,021-019,021:019
Department of Transportation,Safety Mission Support (Safety Operations and Programs),,21,021-020,021:020
Department of Transportation,Information Technology Development and Sustainment (Safety Operations and Programs),,21,021-021,021:021
Department of Transportation,Research & Technology (Safety Operations and Programs),,21,021-022,021:022
Department of Transportation,Motor Carrier Safety Assistance Program Grants,,21,021-023,021:023
Department of Transportation,MCSAP High Priority Grants,,21,021-024,021:024
Department of Transportation,MCSAP New Entrant Grants,,21,021-025,021:025
Department of Transportation,Border Enforcement Grants,,21,021-026,021:026
Department of Transportation,Safety Data Improvements Grants,,21,021-027,021:027
Department of Transportation,Commercial Vehicle Information Systems and Networks Grants,,21,021-028,021:028
Department of Transportation,Commercial Drive License Program Improvement,,21,021-029,021:029
Department of Transportation,Commercial Motor Vehicle Operating Grants (Safety Operations and Programs),,21,021-030,021:030
Department of Transportation,Vehicle Safety,,21,021-031,021:031
Department of Transportation,Highway Safety Research and Development,,21,021-032,021:032
Department of Transportation,State and Community Highway Safety Grants,,21,021-033,021:033
Department of Transportation,National Priority Safety Programs,,21,021-034,021:034
Department of Transportation,High Visibility Enforcement,,21,021-035,021:035
Department of Transportation,Safety and Operations,,21,021-036,021:036
Department of Transportation,Railroad Research and Development,,21,021-037,021:037
Department of Transportation,Operating Grants to Amtrak,,21,021-038,021:038
Department of Transportation,Capital and Debt Service Grants to Amtrak,,21,021-039,021:039
Department of Transportation,Current Passenger Rail Service,,21,021-040,021:040
Department of Transportation,Rail Service Improvement Program,,21,021-041,021:041
Department of Transportation,Research and Development,,21,021-042,021:042
Department of Transportation,Hazardous Materials Safety,,21,021-043,021:043
Department of Transportation,Pipeline Safety,,21,021-044,021:044
Department of Transportation,US Merchant Marine Academy (Operations and Training),,21,021-045,021:045
Department of Transportation,State Maritime Academies Support (Operations and Training),,21,021-046,021:046
Department of Transportation,Operations and Programs (Operations and Training),,21,021-047,021:047
Department of Transportation,Ship Disposal Program,,21,021-048,021:048
Department of Transportation,Maritime Security Program,,21,021-049,021:049
Department of Transportation,Maritime Guaranteed Loan Program,,21,021-050,021:050
Department of Transportation,Saint Lawrence Seaway Development Corporation,,21,021-051,021:051
